estacion,parada,linea,ascensor,escaleras,accesible,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,tipoTransporte
VISTA ALEGRE,26,5,0,0, 0,est_4_97,97.0,VISTA ALEGRE,N/A,40.38885,-3.73982,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CARABANCHEL,27,5,0,0, 0,est_4_98,98.0,CARABANCHEL,N/A,40.38783,-3.7448699999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
 EUGENIA DE MONTIJO,28,5,1,1, 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
ALUCHE,29,5,0,0, 1,est_90_1,1.0,ALUCHE,Calle de Valmojado 293,40.38563,-3.76085,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
EMPALME,30,5,0,0, 1,est_4_101,101.0,EMPALME,N/A,40.390570000000004,-3.76535,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CAMPAMENTO,31,5,0,0, 0,est_4_102,102.0,CAMPAMENTO,N/A,40.39481,-3.76813,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
 CASA DE CAMPO,32,5,1,1, 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
LAGUNA,1,6,0,0, 1,est_4_104,104.0,LAGUNA,N/A,40.399229999999996,-3.7442900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CARPETANA,2,6,1,1, 1,est_4_105,105.0,CARPETANA,N/A,40.3927,-3.74099,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
OPORTO,3,6,0,1, 0,est_4_96,96.0,OPORTO,N/A,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
OPAÑEL,4,6,0,1, 0,est_4_107,107.0,OPAÑEL,N/A,40.3869,-3.7231300000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PLAZA ELIPTICA,5,6,1,1, 1,est_90_36,36.0,PLAZA ELIPTICA,Calle  Vía Lusitana 2,40.3846,-3.7184800000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
USERA,6,6,0,1, 1,est_4_109,109.0,USERA,N/A,40.3871,-3.7069,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
LEGAZPI,7,6,1,1, 1,est_4_43,43.0,LEGAZPI,N/A,40.39116,-3.6951099999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
 ARGANZUELA-PLANETARIO,8,6,1,1, 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
MENDEZ ALVARO,9,6,0,1, 0,est_90_13,13.0,MENDEZ ALVARO,Calle del Ombu 16,40.395379999999996,-3.6781900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PACIFICO,10,6,0,1, 1,est_4_18,18.0,PACIFICO,N/A,40.40126,-3.6751400000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CONDE DE CASAL,11,6,1,1, 1,est_4_113,113.0,CONDE DE CASAL,N/A,40.40697,-3.67041,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
SAINZ DE BARANDA,12,6,1,1, 1,est_4_114,114.0,SAINZ DE BARANDA,N/A,40.41507,-3.66951,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
"""ODONNELL""",13,6,0,1, 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
MANUEL BECERRA,14,6,0,1, 0,est_4_29,29.0,MANUEL BECERRA,N/A,40.4279,-3.66926,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
DIEGO DE LEON,15,6,0,1, 0,est_4_63,63.0,DIEGO DE LEON,N/A,40.43468,-3.67495,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
AVENIDA DE AMERICA,16,6,0,1, 0,est_90_4,4.0,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766900000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
REPUBLICA ARGENTINA,17,6,0,1, 0,est_4_119,119.0,REPUBLICA ARGENTINA,N/A,40.44379,-3.6840599999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
NUEVOS MINISTERIOS,18,6,0,1, 0,est_90_71,71.0,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CUATRO CAMINOS,19,6,1,1, 1,est_4_6,6.0,CUATRO CAMINOS,N/A,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
GUZMAN EL BUENO,20,6,1,0, 1,est_4_122,122.0,GUZMAN EL BUENO,N/A,40.44637,-3.7122900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
VICENTE ALEIXANDRE,21,6,0,1, 0,est_4_123,123.0,VICENTE ALEIXANDRE,N/A,40.44644,-3.7194300000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CIUDAD UNIVERSITARIA,22,6,1,1, 1,est_4_124,124.0,CIUDAD UNIVERSITARIA,N/A,40.44356,-3.72678,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MONCLOA,23,6,1,1, 1,est_90_14,14.0,MONCLOA,Plaza de la Moncloa 1,40.43523,-3.71919,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ARGÜELLES,24,6,1,0, 1,est_4_52,52.0,ARGÜELLES,N/A,40.430659999999996,-3.71596,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PRINCIPE PIO,25,6,0,1, 1,est_90_18,18.0,PRINCIPE PIO,Paseo de la Florida 2,40.42107,-3.7203699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PUERTA DEL ANGEL,26,6,0,1, 0,est_4_128,128.0,PUERTA DEL ANGEL,N/A,40.4139,-3.72724,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ALTO DE EXTREMADURA,27,6,0,1, 0,est_4_129,129.0,ALTO DE EXTREMADURA,N/A,40.409929999999996,-3.73894,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
LUCERO,28,6,1,0, 1,est_4_130,130.0,LUCERO,N/A,40.4051,-3.74534,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
HOSPITAL DEL HENARES,1,7,1,1, 1,est_4_296,296.0,HOSPITAL DEL HENARES,N/A,40.417609999999996,-3.53453,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
HENARES,2,7,1,1, 1,est_4_292,292.0,HENARES,N/A,40.417770000000004,-3.5271800000000004,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
JARAMA,3,7,1,1, 1,est_4_291,291.0,JARAMA,N/A,40.42295,-3.52549,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
SAN FERNANDO,4,7,1,1, 1,est_4_290,290.0,SAN FERNANDO,N/A,40.424409999999995,-3.5354099999999997,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA RAMBLA,5,7,1,1, 1,est_4_289,289.0,LA RAMBLA,N/A,40.42514,-3.5479199999999995,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
COSLADA CENTRAL,6,7,0,1, 0,est_4_288,288.0,COSLADA CENTRAL,N/A,40.42374,-3.5611900000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
BARRIO DEL PUERTO,7,7,1,1, 1,est_4_287,287.0,BARRIO DEL PUERTO,N/A,40.4225,-3.5691900000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ESTADIO METROPOLITANO,8,7,1,1, 1,est_4_286,286.0,ESTADIO METROPOLITANO,N/A,40.43339,-3.60015,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LAS MUSAS,9,7,0,0, 0,est_4_132,132.0,LAS MUSAS,N/A,40.432990000000004,-3.60788,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
SAN BLAS,10,7,0,0, 0,est_4_133,133.0,SAN BLAS,N/A,40.42799,-3.6154699999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
SIMANCAS,11,7,0,0, 0,est_4_134,134.0,SIMANCAS,N/A,40.42799,-3.62572,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
GARCIA NOBLEJAS,12,7,0,0, 0,est_4_135,135.0,GARCIA NOBLEJAS,N/A,40.42842,-3.6333,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ASCAO,13,7,0,1, 0,est_4_136,136.0,ASCAO,N/A,40.430209999999995,-3.64106,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PUEBLO NUEVO,14,7,1,0, 1,est_4_78,78.0,PUEBLO NUEVO,N/A,40.43569,-3.6428199999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
BARRIO DE LA CONCEPCION,15,7,0,1, 0,est_4_138,138.0,BARRIO DE LA CONCEPCION,N/A,40.4391,-3.6519999999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PARQUE DE LAS AVENIDAS,16,7,0,1, 0,est_4_139,139.0,PARQUE DE LAS AVENIDAS,N/A,40.43945,-3.6629699999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CARTAGENA,17,7,0,1, 0,est_4_140,140.0,CARTAGENA,N/A,40.43934,-3.67215,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
AVENIDA DE AMERICA,18,7,0,1, 0,est_90_4,4.0,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766900000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
GREGORIO MARAÑON,19,7,1,0, 1,est_4_142,142.0,GREGORIO MARAÑON,N/A,40.43825,-3.6914800000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ALONSO CANO,20,7,1,0, 1,est_4_143,143.0,ALONSO CANO,N/A,40.43838,-3.69925,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CANAL,21,7,1,1, 1,est_4_41,41.0,CANAL,N/A,40.43841,-3.70433,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ISLAS FILIPINAS,22,7,1,1, 1,est_4_145,145.0,ISLAS FILIPINAS,N/A,40.43907,-3.7137300000000004,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
GUZMAN EL BUENO,23,7,1,0, 1,est_4_122,122.0,GUZMAN EL BUENO,N/A,40.44637,-3.7122900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
FRANCOS RODRIGUEZ,24,7,1,1, 1,est_4_147,147.0,FRANCOS RODRIGUEZ,N/A,40.45648,-3.71239,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
VALDEZARZA,25,7,1,1, 1,est_4_148,148.0,VALDEZARZA,N/A,40.46482,-3.7159699999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ANTONIO MACHADO,26,7,1,1, 1,est_4_149,149.0,ANTONIO MACHADO,N/A,40.47022,-3.71769,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PEÑAGRANDE,27,7,1,1, 1,est_4_150,150.0,PEÑAGRANDE,N/A,40.47592,-3.71582,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
AVENIDA DE LA ILUSTRACION,28,7,0,0, 1,est_4_151,151.0,AVENIDA DE LA ILUSTRACION,N/A,40.4801,-3.7184,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LACOMA,29,7,0,0, 1,est_4_152,152.0,LACOMA,N/A,40.48502,-3.72305,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PITIS,30,7,0,0, 1,est_4_154,154.0,PITIS,N/A,40.49511,-3.72589,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
NUEVOS MINISTERIOS,1,8,0,1, 0,est_90_71,71.0,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
COLOMBIA,2,8,1,1, 1,est_4_156,156.0,COLOMBIA,N/A,40.456340000000004,-3.6768199999999998,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PINAR DEL REY,3,8,1,1, 1,est_4_258,258.0,PINAR DEL REY,N/A,40.468,-3.6486699999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MAR DE CRISTAL,4,8,1,1, 1,est_4_71,71.0,MAR DE CRISTAL,N/A,40.469429999999996,-3.6383199999999998,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
FERIA DE MADRID,5,8,1,1, 1,est_4_158,158.0,FERIA DE MADRID,N/A,40.46389,-3.6162,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
AEROPUERTO T1-T2-T3,6,8,0,0, 1,est_90_34,34.0,AEROPUERTO T1-T2-T3,Avda de la Hispanidad SN,40.46864,-3.56965,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
BARAJAS,7,8,1,1, 1,est_4_160,160.0,BARAJAS,N/A,40.475770000000004,-3.58253,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
AEROPUERTO T4,8,8,0,0, 1,est_90_33,33.0,AEROPUERTO T4,Ctra de Alcobendas a Barajas SN,40.49176,-3.5935599999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PACO DE LUCIA,1,9,1,1, 1,est_4_345,345.0,PACO DE LUCIA,N/A,40.49965,-3.70908,N/A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
MIRASIERRA,2,9,1,1, 1,est_4_326,326.0,MIRASIERRA,N/A,40.4911,-3.71634,N/A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
HERRERA ORIA,3,9,0,1, 0,est_4_161,161.0,HERRERA ORIA,N/A,40.48466,-3.7075099999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
BARRIO DEL PILAR,4,9,0,1, 0,est_4_162,162.0,BARRIO DEL PILAR,N/A,40.476890000000004,-3.70316,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
VENTILLA,5,9,0,1, 0,est_4_163,163.0,VENTILLA,N/A,40.469440000000006,-3.6958800000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PLAZA DE CASTILLA,6,9,0,1, 1,est_90_21,21.0,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
DUQUE DE PASTRANA,7,9,0,1, 0,est_4_165,165.0,DUQUE DE PASTRANA,N/A,40.46763,-3.6791699999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PIO XII,8,9,0,1, 0,est_4_166,166.0,PIO XII,N/A,40.463,-3.67579,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
COLOMBIA,9,9,1,1, 1,est_4_156,156.0,COLOMBIA,N/A,40.456340000000004,-3.6768199999999998,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CONCHA ESPINA,10,9,0,1, 0,est_4_168,168.0,CONCHA ESPINA,N/A,40.45145,-3.6773800000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CRUZ DEL RAYO,11,9,0,1, 0,est_4_169,169.0,CRUZ DEL RAYO,N/A,40.44427,-3.67821,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
AVENIDA DE AMERICA,12,9,0,1, 0,est_90_4,4.0,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766900000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
NUÑEZ DE BALBOA,13,9,0,1, 0,est_4_83,83.0,NUÑEZ DE BALBOA,N/A,40.43278,-3.68258,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PRINCIPE DE VERGARA,14,9,0,1, 0,est_4_31,31.0,PRINCIPE DE VERGARA,N/A,40.422940000000004,-3.6801199999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
 IBIZA,15,9,0,1, 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
SAINZ DE BARANDA,16,9,1,1, 1,est_4_114,114.0,SAINZ DE BARANDA,N/A,40.41507,-3.66951,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ESTRELLA,17,9,0,1, 0,est_4_175,175.0,ESTRELLA,N/A,40.41147,-3.6617900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
VINATEROS,18,9,0,1, 0,est_4_176,176.0,VINATEROS,N/A,40.41024,-3.6527300000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ARTILLEROS,19,9,0,1, 0,est_4_177,177.0,ARTILLEROS,N/A,40.40522,-3.64181,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PAVONES,20,9,0,1, 0,est_4_178,178.0,PAVONES,N/A,40.40051,-3.6351199999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
VALDEBERNARDO,21,9,1,1, 1,est_4_179,179.0,VALDEBERNARDO,N/A,40.40005,-3.6215599999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
VICALVARO,22,9,1,1, 1,est_4_180,180.0,VICALVARO,N/A,40.40422,-3.60886,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
SAN CIPRIANO,23,9,1,1, 1,est_4_181,181.0,SAN CIPRIANO,N/A,40.40381,-3.60239,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PUERTA DE ARGANDA,24,9,1,1, 1,est_4_182,182.0,PUERTA DE ARGANDA,N/A,40.40132,-3.5959800000000004,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
RIVAS URBANIZACIONES,25,9,1,1, 1,est_4_183,183.0,RIVAS URBANIZACIONES,N/A,40.36677,-3.54728,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
RIVAS FUTURA,26,9,1,1, 1,est_4_300,300.0,RIVAS FUTURA,N/A,40.34134,-3.5247900000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
RIVAS VACIAMADRID,27,9,1,1, 1,est_4_184,184.0,RIVAS VACIAMADRID,N/A,40.32837,-3.5206,B2,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA POVEDA,28,9,1,1, 1,est_4_185,185.0,LA POVEDA,N/A,40.31902,-3.47745,B3,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ARGANDA DEL REY,29,9,1,1, 1,est_4_186,186.0,ARGANDA DEL REY,N/A,40.303670000000004,-3.44752,B3,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
HOSPITAL INFANTA SOFIA,1,10,1,1, 1,est_4_284,284.0,HOSPITAL INFANTA SOFIA,N/A,40.55977,-3.61145,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
REYES CATOLICOS,2,10,1,1, 1,est_4_283,283.0,REYES CATOLICOS,N/A,40.55037,-3.6234,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
BAUNATAL,3,10,1,1, 1,est_4_282,282.0,BAUNATAL,N/A,40.55442,-3.63513,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MANUEL DE FALLA,4,10,1,1, 1,est_4_281,281.0,MANUEL DE FALLA,N/A,40.55048,-3.6468800000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MARQUES DE LA VALDAVIA,5,10,1,1, 1,est_4_280,280.0,MARQUES DE LA VALDAVIA,N/A,40.54102,-3.6373800000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA MORALEJA,6,10,1,1, 1,est_4_279,279.0,LA MORALEJA,N/A,40.53196,-3.63556,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA GRANJA,7,10,1,1, 1,est_4_278,278.0,LA GRANJA,N/A,40.5276,-3.6585900000000002,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
RONDA DE LA COMUNICACION,8,10,1,0, 1,est_4_277,277.0,RONDA DE LA COMUNICACION,N/A,40.51553,-3.6627699999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LAS TABLAS,9,10,1,1, 1,est_4_276,276.0,LAS TABLAS,N/A,40.50833,-3.6694400000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MONTECARMELO,10,10,1,1, 1,est_4_275,275.0,MONTECARMELO,N/A,40.50525,-3.69575,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
TRES OLIVOS,11,10,1,1, 1,est_4_274,274.0,TRES OLIVOS,N/A,40.5012,-3.6952,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
FUENCARRAL,12,10,0,1, 0,est_4_187,187.0,FUENCARRAL,N/A,40.495090000000005,-3.6928300000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
BEGOÑA,13,10,0,1, 0,est_4_188,188.0,BEGOÑA,N/A,40.48041,-3.68585,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
